,산업분류,규모별,상용총근로시간,상용소정실근로시간,상용초과근로시간,상용정액급여,상용초과급여,상용특별급여
1,"석탄, 원유 및 천연가스 광업",5~9인,NaN,NaN,NaN,NaN,NaN,NaN
2,"석탄, 원유 및 천연가스 광업",10~29인,NaN,NaN,NaN,NaN,NaN,NaN
3,"석탄, 원유 및 천연가스 광업",30~99인,175.70000000000002,160.63333333333333,15.033333333333333,4636670.0,548682.6666666666,786429.3333333334
4,"석탄, 원유 및 천연가스 광업",100~299인,NaN,NaN,NaN,NaN,NaN,NaN
5,"석탄, 원유 및 천연가스 광업",300인이상,NaN,NaN,NaN,NaN,NaN,NaN
6,금속 광업,5~9인,NaN,NaN,NaN,NaN,NaN,NaN
7,금속 광업,10~29인,NaN,NaN,NaN,NaN,NaN,NaN
8,금속 광업,30~99인,NaN,NaN,NaN,NaN,NaN,NaN
9,금속 광업,100~299인,NaN,NaN,NaN,NaN,NaN,NaN
10,금속 광업,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
11,비금속광물 광업; 연료용 제외,5~9인,181.79999999999998,175.86666666666667,5.966666666666666,3042507.6666666665,116180.0,125168.0
12,비금속광물 광업; 연료용 제외,10~29인,199.4,176.29999999999998,23.099999999999998,3530760.6666666665,460419.6666666667,183895.0
13,비금속광물 광업; 연료용 제외,30~99인,200.16666666666666,168.16666666666666,31.96666666666667,3521415.6666666665,722342.6666666666,389771.3333333333
14,비금속광물 광업; 연료용 제외,100~299인,NaN,NaN,NaN,NaN,NaN,NaN
15,비금속광물 광업; 연료용 제외,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
16,광업 지원 서비스업,5~9인,NaN,NaN,NaN,NaN,NaN,NaN
17,광업 지원 서비스업,10~29인,NaN,NaN,NaN,NaN,NaN,NaN
18,광업 지원 서비스업,30~99인,NaN,NaN,NaN,NaN,NaN,NaN
19,광업 지원 서비스업,100~299인,NaN,NaN,NaN,NaN,NaN,NaN
20,광업 지원 서비스업,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
21,식료품 제조업,5~9인,164.7,161.03333333333333,3.633333333333333,2529621.6666666665,47455.666666666664,290672.3333333333
22,식료품 제조업,10~29인,169.3,160.46666666666667,8.833333333333334,2428374.6666666665,151842.0,158766.0
23,식료품 제조업,30~99인,175.33333333333334,159.00000000000003,16.333333333333332,2629998.6666666665,333740.3333333333,282710.0
24,식료품 제조업,100~299인,192.4333333333333,155.86666666666667,36.63333333333333,2406356.3333333335,754340.3333333334,534757.3333333334
25,식료품 제조업,300인이상,195.4333333333333,154.73333333333332,40.76666666666667,2475594.0,881468.3333333334,607781.6666666666
26,음료 제조업,5~9인,166.93333333333334,161.4333333333333,5.5,2583068.6666666665,89475.33333333333,351780.0
27,음료 제조업,10~29인,159.8,150.79999999999998,8.966666666666667,2678325.3333333335,195148.0,294709.0
28,음료 제조업,30~99인,177.86666666666667,156.93333333333334,20.933333333333334,2943340.6666666665,443627.0,571978.6666666666
29,음료 제조업,100~299인,177.9,153.20000000000002,24.7,4042670.6666666665,849172.6666666666,1098990.0
30,음료 제조업,300인이상,171.9,147.70000000000002,24.266666666666666,3389832.0,975991.6666666666,1711941.3333333333
31,담배 제조업,5~9인,NaN,NaN,NaN,NaN,NaN,NaN
32,담배 제조업,10~29인,NaN,NaN,NaN,NaN,NaN,NaN
33,담배 제조업,30~99인,NaN,NaN,NaN,NaN,NaN,NaN
34,담배 제조업,100~299인,NaN,NaN,NaN,NaN,NaN,NaN
35,담배 제조업,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
36,섬유제품 제조업; 의복 제외,5~9인,164.9333333333333,157.63333333333333,7.233333333333334,2936854.0,137730.66666666666,81929.33333333333
37,섬유제품 제조업; 의복 제외,10~29인,190.13333333333333,160.3,29.833333333333332,2757436.0,555196.6666666666,53626.333333333336
38,섬유제품 제조업; 의복 제외,30~99인,173.63333333333333,152.63333333333333,20.96666666666667,2429239.0,429217.6666666667,113990.33333333333
39,섬유제품 제조업; 의복 제외,100~299인,183.13333333333335,162.1,21.066666666666666,2921182.3333333335,610180.6666666666,301107.0
40,섬유제품 제조업; 의복 제외,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
41,"의복, 의복 액세서리 및 모피제품 제조업",5~9인,163.03333333333333,163.03333333333333,NaN,2557650.6666666665,NaN,36071.666666666664
42,"의복, 의복 액세서리 및 모피제품 제조업",10~29인,162.96666666666667,158.23333333333332,4.766666666666667,3011825.0,90753.33333333333,89758.66666666667
43,"의복, 의복 액세서리 및 모피제품 제조업",30~99인,167.83333333333334,156.29999999999998,11.533333333333333,2961859.6666666665,220991.33333333334,59563.666666666664
44,"의복, 의복 액세서리 및 모피제품 제조업",100~299인,169.26666666666665,160.76666666666668,8.5,3678338.0,167340.0,129197.33333333333
45,"의복, 의복 액세서리 및 모피제품 제조업",300인이상,163.26666666666665,155.83333333333334,7.433333333333334,4271088.666666667,213295.66666666666,778763.3333333334
46,"가죽, 가방 및 신발 제조업",5~9인,158.16666666666666,154.13333333333333,4.033333333333333,3091037.0,23501.333333333332,82410.33333333333
47,"가죽, 가방 및 신발 제조업",10~29인,160.4,156.8,3.6333333333333333,2873713.0,81381.33333333333,25044.666666666668
48,"가죽, 가방 및 신발 제조업",30~99인,170.63333333333333,156.53333333333333,14.1,2723088.6666666665,256859.0,27656.666666666668
49,"가죽, 가방 및 신발 제조업",100~299인,161.2,154.83333333333334,6.366666666666666,3290967.6666666665,390959.6666666667,37565.333333333336
50,"가죽, 가방 및 신발 제조업",300인이상,NaN,NaN,NaN,NaN,NaN,NaN
51,목재 및 나무제품 제조업; 가구 제외,5~9인,173.53333333333333,161.83333333333334,11.733333333333334,2631677.6666666665,234815.66666666666,61322.666666666664
52,목재 및 나무제품 제조업; 가구 제외,10~29인,186.4333333333333,165.16666666666666,21.26666666666667,3052513.6666666665,355872.6666666667,182574.66666666666
53,목재 및 나무제품 제조업; 가구 제외,30~99인,212.86666666666665,163.63333333333333,49.199999999999996,3378640.6666666665,916367.0,330971.6666666667
54,목재 및 나무제품 제조업; 가구 제외,100~299인,190.4666666666667,160.5666666666667,29.900000000000002,3157975.3333333335,639310.3333333334,722820.0
55,목재 및 나무제품 제조업; 가구 제외,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
56,"펄프, 종이 및 종이제품 제조업",5~9인,196.33333333333334,170.76666666666665,25.5,2545540.3333333335,442996.6666666667,80393.66666666667
57,"펄프, 종이 및 종이제품 제조업",10~29인,181.83333333333334,161.79999999999998,20.033333333333335,2711789.6666666665,389144.6666666667,186267.0
58,"펄프, 종이 및 종이제품 제조업",30~99인,195.83333333333334,163.0,32.833333333333336,2847265.6666666665,613042.3333333334,149328.0
59,"펄프, 종이 및 종이제품 제조업",100~299인,196.66666666666666,160.56666666666666,36.1,2753095.0,828471.0,741797.6666666666
60,"펄프, 종이 및 종이제품 제조업",300인이상,172.23333333333335,150.83333333333334,21.3,3717294.3333333335,903627.0,2225434.3333333335
61,인쇄 및 기록매체 복제업,5~9인,164.7,161.63333333333333,3.1,2907218.3333333335,44340.333333333336,156248.0
62,인쇄 및 기록매체 복제업,10~29인,178.96666666666667,157.9,21.1,2629101.3333333335,379609.6666666667,80421.0
63,인쇄 및 기록매체 복제업,30~99인,179.66666666666666,158.0666666666667,21.53333333333333,3016659.0,431660.0,55173.0
64,인쇄 및 기록매체 복제업,100~299인,187.36666666666665,155.23333333333332,32.13333333333333,2676268.0,780959.0,290274.6666666667
65,인쇄 및 기록매체 복제업,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
66,"코크스, 연탄 및 석유정제품 제조업",5~9인,171.4333333333333,164.79999999999998,6.666666666666667,3585751.0,109887.66666666667,200135.0
67,"코크스, 연탄 및 석유정제품 제조업",10~29인,174.5666666666667,163.03333333333333,11.533333333333331,3581851.0,219187.33333333334,472676.6666666667
68,"코크스, 연탄 및 석유정제품 제조업",30~99인,173.66666666666666,161.96666666666667,11.666666666666666,4218480.666666667,321292.0,1065748.6666666667
69,"코크스, 연탄 및 석유정제품 제조업",100~299인,168.4333333333333,157.23333333333332,11.200000000000001,4198619.666666667,559167.6666666666,2052964.3333333333
70,"코크스, 연탄 및 석유정제품 제조업",300인이상,170.5,154.29999999999998,16.2,3963419.6666666665,885484.3333333334,3530197.3333333335
71,화학 물질 및 화학제품 제조업; 의약품 제외,5~9인,161.86666666666667,156.86666666666665,5.0,3240917.6666666665,116723.0,225616.33333333334
72,화학 물질 및 화학제품 제조업; 의약품 제외,10~29인,173.33333333333334,158.96666666666667,14.366666666666667,3332996.6666666665,284876.0,231376.33333333334
73,화학 물질 및 화학제품 제조업; 의약품 제외,30~99인,179.86666666666665,160.70000000000002,19.166666666666664,3365644.6666666665,461394.0,463379.0
74,화학 물질 및 화학제품 제조업; 의약품 제외,100~299인,181.0,158.66666666666666,22.333333333333332,3740683.3333333335,799829.6666666666,1401195.3333333333
75,화학 물질 및 화학제품 제조업; 의약품 제외,300인이상,179.13333333333333,157.6,21.53333333333333,3987276.0,1025567.3333333334,1939793.3333333333
76,의료용 물질 및 의약품 제조업,5~9인,165.43333333333334,162.96666666666667,2.4333333333333336,2841308.6666666665,38630.333333333336,44843.0
77,의료용 물질 및 의약품 제조업,10~29인,166.49999999999997,160.03333333333333,6.466666666666666,3164612.0,186370.66666666666,152631.33333333334
78,의료용 물질 및 의약품 제조업,30~99인,170.0,159.93333333333334,10.066666666666666,3443147.3333333335,242663.0,300616.3333333333
79,의료용 물질 및 의약품 제조업,100~299인,168.73333333333332,156.36666666666665,12.366666666666667,3420696.6666666665,335117.6666666667,685535.6666666666
80,의료용 물질 및 의약품 제조업,300인이상,168.23333333333332,154.33333333333334,13.866666666666667,3981205.6666666665,370873.6666666667,1011576.6666666666
81,고무 및 플라스틱제품 제조업,5~9인,166.76666666666665,161.29999999999998,5.466666666666666,2706481.3333333335,85865.0,94471.66666666667
82,고무 및 플라스틱제품 제조업,10~29인,186.46666666666667,163.13333333333333,23.333333333333332,2821038.3333333335,457553.3333333333,148395.0
83,고무 및 플라스틱제품 제조업,30~99인,185.26666666666665,158.0,27.266666666666666,2733812.3333333335,511489.3333333333,131589.0
84,고무 및 플라스틱제품 제조업,100~299인,183.1,153.66666666666666,29.433333333333337,3118680.6666666665,618085.0,643778.3333333334
85,고무 및 플라스틱제품 제조업,300인이상,173.20000000000002,148.36666666666667,24.866666666666664,3245744.0,719948.6666666666,1177499.3333333333
86,비금속 광물제품 제조업,5~9인,175.86666666666665,167.63333333333333,8.233333333333333,3306460.0,152528.0,131017.33333333333
87,비금속 광물제품 제조업,10~29인,181.36666666666667,164.16666666666666,17.2,3347883.3333333335,333414.6666666667,270550.3333333333
88,비금속 광물제품 제조업,30~99인,187.63333333333333,160.4,27.233333333333334,2853051.6666666665,479261.6666666667,274913.3333333333
89,비금속 광물제품 제조업,100~299인,181.66666666666666,156.1,25.566666666666666,3602010.0,513220.6666666667,1185318.3333333333
90,비금속 광물제품 제조업,300인이상,178.26666666666665,153.0666666666667,25.166666666666668,3924105.6666666665,795551.3333333334,1409443.6666666667
91,1차 금속 제조업,5~9인,174.0666666666667,167.70000000000002,6.366666666666666,3023621.0,101918.33333333333,186856.33333333334
92,1차 금속 제조업,10~29인,178.76666666666665,162.70000000000002,16.033333333333335,3226980.0,279315.3333333333,151255.33333333334
93,1차 금속 제조업,30~99인,184.66666666666666,156.66666666666666,28.0,3158977.0,567059.6666666666,356173.6666666667
94,1차 금속 제조업,100~299인,179.0666666666667,154.79999999999998,24.266666666666666,3320787.0,616763.0,592320.3333333334
95,1차 금속 제조업,300인이상,173.33333333333334,151.53333333333333,21.833333333333332,3492641.3333333335,673333.3333333334,2349587.3333333335
96,금속 가공제품 제조업; 기계 및 가구 제외,5~9인,173.26666666666665,165.86666666666667,7.3999999999999995,2900730.3333333335,165316.0,122936.33333333333
97,금속 가공제품 제조업; 기계 및 가구 제외,10~29인,177.53333333333333,160.79999999999998,16.7,2972190.0,296657.6666666667,95588.66666666667
98,금속 가공제품 제조업; 기계 및 가구 제외,30~99인,183.79999999999998,157.16666666666666,26.633333333333336,2972197.6666666665,580937.3333333334,254160.33333333334
99,금속 가공제품 제조업; 기계 및 가구 제외,100~299인,183.5,158.29999999999998,25.266666666666666,2990341.3333333335,664555.6666666666,348822.0
100,금속 가공제품 제조업; 기계 및 가구 제외,300인이상,178.30000000000004,152.36666666666665,25.933333333333337,3405228.0,611636.0,956855.3333333334
101,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5~9인,165.26666666666665,160.0,5.233333333333333,2956088.3333333335,124790.33333333333,166064.33333333334
102,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",10~29인,168.33333333333334,158.79999999999998,9.533333333333333,3522634.3333333335,162717.0,233808.66666666666
103,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",30~99인,173.70000000000002,157.36666666666667,16.26666666666667,3298425.3333333335,359269.0,340572.3333333333
104,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",100~299인,177.20000000000002,154.53333333333333,22.666666666666668,3100872.0,509457.3333333333,404866.6666666667
105,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",300인이상,173.5,155.26666666666665,18.233333333333334,4447377.0,555274.6666666666,2573753.0
106,"의료, 정밀, 광학 기기 및 시계 제조업",5~9인,162.23333333333332,161.06666666666666,1.1666666666666667,2905409.0,17517.0,91239.66666666667
107,"의료, 정밀, 광학 기기 및 시계 제조업",10~29인,167.96666666666667,161.06666666666663,6.900000000000001,3385873.3333333335,123628.66666666667,82653.33333333333
108,"의료, 정밀, 광학 기기 및 시계 제조업",30~99인,167.3,160.5,6.766666666666667,3702576.3333333335,193924.0,340614.0
109,"의료, 정밀, 광학 기기 및 시계 제조업",100~299인,164.33333333333334,155.4,8.933333333333334,3178948.6666666665,232978.0,308224.3333333333
110,"의료, 정밀, 광학 기기 및 시계 제조업",300인이상,180.63333333333333,152.2,28.46666666666667,3647382.3333333335,613437.3333333334,1022054.3333333334
111,전기장비 제조업,5~9인,160.46666666666667,159.50000000000003,0.9666666666666667,3196356.6666666665,17743.0,116612.0
112,전기장비 제조업,10~29인,171.33333333333334,160.6,10.699999999999998,3194223.6666666665,170370.0,147943.0
113,전기장비 제조업,30~99인,171.63333333333333,157.66666666666666,14.0,3211856.6666666665,263567.3333333333,133215.0
114,전기장비 제조업,100~299인,180.9333333333333,155.43333333333334,25.5,3010608.3333333335,582810.0,702412.6666666666
115,전기장비 제조업,300인이상,174.73333333333332,152.83333333333334,21.900000000000002,3559269.3333333335,684514.0,1333462.6666666667
116,기타 기계 및 장비 제조업,5~9인,173.5666666666667,165.36666666666665,8.200000000000001,3019796.6666666665,144392.66666666666,168145.66666666666
117,기타 기계 및 장비 제조업,10~29인,178.4666666666667,161.20000000000002,17.266666666666666,3081791.0,361342.6666666667,144057.0
118,기타 기계 및 장비 제조업,30~99인,187.66666666666666,159.83333333333334,27.866666666666664,2925678.3333333335,548844.6666666666,285883.0
119,기타 기계 및 장비 제조업,100~299인,173.0666666666667,155.23333333333332,17.8,3433493.0,388179.6666666667,550413.0
120,기타 기계 및 장비 제조업,300인이상,173.26666666666665,152.1,21.2,4306625.333333333,556514.0,1050023.0
121,자동차 및 트레일러 제조업,5~9인,179.5666666666667,159.16666666666666,20.400000000000002,2448036.6666666665,354526.3333333333,66255.0
122,자동차 및 트레일러 제조업,10~29인,181.9,159.4,22.5,2924116.3333333335,450937.3333333333,172645.33333333334
123,자동차 및 트레일러 제조업,30~99인,180.33333333333334,155.13333333333333,25.266666666666666,2633966.3333333335,481108.6666666667,238930.0
124,자동차 및 트레일러 제조업,100~299인,180.16666666666666,150.93333333333334,29.233333333333334,3170467.3333333335,671187.3333333334,728096.3333333334
125,자동차 및 트레일러 제조업,300인이상,159.29999999999998,142.83333333333334,16.466666666666665,3541512.6666666665,523297.6666666667,2327379.3333333335
126,기타 운송장비 제조업,5~9인,172.46666666666667,162.13333333333333,10.366666666666667,2843369.0,182110.0,108880.0
127,기타 운송장비 제조업,10~29인,177.1,162.13333333333333,14.933333333333332,3267306.6666666665,274710.3333333333,209370.66666666666
128,기타 운송장비 제조업,30~99인,178.33333333333334,154.96666666666667,23.333333333333332,3056426.6666666665,412831.6666666667,250483.66666666666
129,기타 운송장비 제조업,100~299인,178.03333333333333,151.0,27.03333333333333,2735282.0,566382.0,360773.0
130,기타 운송장비 제조업,300인이상,160.63333333333333,143.4,17.266666666666666,3576786.6666666665,463444.3333333333,1749998.3333333333
131,가구 제조업,5~9인,182.6,165.43333333333334,17.166666666666668,2517885.6666666665,212514.66666666666,47462.0
132,가구 제조업,10~29인,188.73333333333335,164.16666666666669,24.53333333333333,2806285.6666666665,388864.0,90426.33333333333
133,가구 제조업,30~99인,181.33333333333334,159.0,22.3,2958892.3333333335,378911.0,50314.666666666664
134,가구 제조업,100~299인,175.26666666666665,157.4333333333333,17.866666666666664,2909380.3333333335,447914.6666666667,509425.0
135,가구 제조업,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
136,기타 제품 제조업,5~9인,165.29999999999998,163.29999999999998,1.9666666666666668,2767445.6666666665,26795.666666666668,28629.0
137,기타 제품 제조업,10~29인,172.83333333333334,161.63333333333335,11.200000000000001,3057428.3333333335,182689.0,171560.0
138,기타 제품 제조업,30~99인,171.23333333333335,159.13333333333333,12.1,2770081.6666666665,215383.66666666666,181003.0
139,기타 제품 제조업,100~299인,183.26666666666665,157.63333333333333,25.633333333333336,2643280.0,444604.6666666667,301095.6666666667
140,기타 제품 제조업,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
141,산업용 기계 및 장비 수리업,5~9인,170.5666666666667,169.16666666666666,1.4000000000000001,2873549.3333333335,21549.0,67579.0
142,산업용 기계 및 장비 수리업,10~29인,173.5666666666667,164.16666666666666,9.4,2744486.3333333335,163752.33333333334,235554.0
143,산업용 기계 및 장비 수리업,30~99인,172.23333333333335,156.33333333333334,15.9,2990122.0,273194.0,175197.66666666666
144,산업용 기계 및 장비 수리업,100~299인,175.4,153.79999999999998,21.566666666666666,4862463.0,566928.6666666666,1825854.6666666667
145,산업용 기계 및 장비 수리업,300인이상,150.63333333333333,139.4,11.266666666666666,3134344.0,325157.3333333333,1632308.6666666667
146,"전기, 가스, 증기 및 공기 조절 공급업",5~9인,174.16666666666666,159.36666666666667,14.799999999999999,4613326.0,648196.3333333334,1178135.0
147,"전기, 가스, 증기 및 공기 조절 공급업",10~29인,168.33333333333334,157.83333333333334,10.466666666666667,4542192.666666667,368151.0,1235057.3333333333
148,"전기, 가스, 증기 및 공기 조절 공급업",30~99인,163.03333333333333,154.03333333333333,9.0,4636926.666666667,331728.0,1414919.3333333333
149,"전기, 가스, 증기 및 공기 조절 공급업",100~299인,158.53333333333333,150.29999999999998,8.233333333333333,4861176.0,369006.3333333333,1571795.0
150,"전기, 가스, 증기 및 공기 조절 공급업",300인이상,163.70000000000002,152.83333333333334,10.9,5048798.0,398045.3333333333,1898898.0
151,수도업,5~9인,176.03333333333333,164.46666666666667,11.566666666666668,3050868.6666666665,623752.3333333334,684411.6666666666
152,수도업,10~29인,160.5,154.96666666666667,5.566666666666667,4225685.0,272013.3333333333,1080420.6666666667
153,수도업,30~99인,157.66666666666666,153.56666666666666,4.133333333333334,4312409.333333333,202906.33333333334,1304286.3333333333
154,수도업,100~299인,148.46666666666667,146.29999999999998,2.166666666666667,4731567.333333333,62387.0,987450.0
155,수도업,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
156,"하수, 폐수 및 분뇨 처리업",5~9인,166.13333333333333,162.83333333333334,3.2999999999999994,2902448.6666666665,91631.0,287088.3333333333
157,"하수, 폐수 및 분뇨 처리업",10~29인,174.0,163.36666666666665,10.6,3246001.0,322514.3333333333,339676.0
158,"하수, 폐수 및 분뇨 처리업",30~99인,173.63333333333333,159.56666666666666,14.1,3708248.6666666665,314443.6666666667,498954.0
159,"하수, 폐수 및 분뇨 처리업",100~299인,170.9333333333333,158.96666666666667,11.966666666666667,3189230.3333333335,486616.3333333333,421948.3333333333
160,"하수, 폐수 및 분뇨 처리업",300인이상,NaN,NaN,NaN,NaN,NaN,NaN
161,"폐기물 수집, 운반, 처리 및 원료 재생업",5~9인,173.23333333333335,168.70000000000002,4.533333333333333,2886242.6666666665,72010.0,91911.66666666667
162,"폐기물 수집, 운반, 처리 및 원료 재생업",10~29인,181.60000000000002,172.66666666666666,9.0,3501393.3333333335,286552.0,196520.0
163,"폐기물 수집, 운반, 처리 및 원료 재생업",30~99인,191.83333333333334,170.4333333333333,21.400000000000002,3186674.6666666665,629541.6666666666,359408.3333333333
164,"폐기물 수집, 운반, 처리 및 원료 재생업",100~299인,196.76666666666665,167.50000000000003,29.2,3193561.3333333335,730089.6666666666,566772.3333333334
165,"폐기물 수집, 운반, 처리 및 원료 재생업",300인이상,NaN,NaN,NaN,NaN,NaN,NaN
166,환경 정화 및 복원업,5~9인,169.86666666666665,162.79999999999998,7.066666666666666,3091483.6666666665,105896.66666666667,355385.0
167,환경 정화 및 복원업,10~29인,164.0,156.96666666666667,7.1000000000000005,3458574.6666666665,178250.66666666666,788215.6666666666
168,환경 정화 및 복원업,30~99인,172.0666666666667,163.26666666666668,8.833333333333334,4019767.0,274131.0,664959.3333333334
169,환경 정화 및 복원업,100~299인,NaN,NaN,NaN,NaN,NaN,NaN
170,환경 정화 및 복원업,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
171,종합 건설업,5~9인,166.70000000000002,164.66666666666666,2.033333333333333,2804883.3333333335,56150.0,56332.0
172,종합 건설업,10~29인,167.56666666666666,164.56666666666666,3.033333333333333,3387174.6666666665,99728.0,170924.66666666666
173,종합 건설업,30~99인,172.46666666666667,163.06666666666666,9.433333333333332,4075887.0,247522.0,246219.0
174,종합 건설업,100~299인,175.4,158.53333333333333,16.866666666666667,4248653.333333333,499647.3333333333,648877.6666666666
175,종합 건설업,300인이상,172.20000000000002,155.86666666666665,16.366666666666664,5236785.0,567685.0,799143.3333333334
176,전문직별 공사업,5~9인,164.20000000000002,163.26666666666668,0.9,2968886.3333333335,17510.333333333332,126970.33333333333
177,전문직별 공사업,10~29인,167.5666666666667,165.16666666666666,2.3333333333333335,3654991.0,93639.0,139708.66666666666
178,전문직별 공사업,30~99인,177.4333333333333,163.79999999999998,13.633333333333333,3689317.6666666665,298515.0,348471.6666666667
179,전문직별 공사업,100~299인,174.76666666666668,160.7,14.1,3689623.0,392913.0,371203.3333333333
